Data,CampanhaID,CanalID,InvestimentoCentavos,Impressoes,Cliques,Leads,Oportunidades,Clientes,ReceitaCentavos
2025-05-01,CMP01,CAN01,1038100,186655,8080,731,248,74,14661300
2025-05-01,CMP02,CAN01,772100,155339,6882,650,187,54,10233000
2025-05-01,CMP03,CAN02,706100,334362,4043,339,76,16,2208200
2025-05-01,CMP04,CAN02,508300,119241,2287,223,67,16,2745200
2025-05-01,CMP05,CAN03,922200,101660,1058,134,54,15,4655800
2025-05-01,CMP06,CAN03,686600,77909,931,112,50,15,5667100
2025-05-01,CMP07,CAN04,139300,114871,3844,288,53,10,984100
2025-05-01,CMP08,CAN04,162500,76812,3246,312,74,17,2069700
2025-06-01,CMP01,CAN01,1004000,205146,9104,805,255,66,14034600
2025-06-01,CMP02,CAN01,779000,141498,5931,572,158,44,7926100
2025-06-01,CMP03,CAN02,642900,351567,3982,319,65,13,1918200
2025-06-01,CMP04,CAN02,554000,121319,2189,227,67,16,2547400
2025-06-01,CMP05,CAN03,816900,95998,945,110,47,14,4735400
2025-06-01,CMP06,CAN03,639700,78440,915,126,56,17,6350300
2025-06-01,CMP07,CAN04,121800,108843,3286,246,45,10,957500
2025-06-01,CMP08,CAN04,148100,67413,2658,266,63,16,1973500
2025-07-01,CMP01,CAN01,893300,185152,8841,889,268,74,14749100
2025-07-01,CMP02,CAN01,748900,151573,6167,574,167,46,8697400
2025-07-01,CMP03,CAN02,668100,313835,3649,291,65,14,1976700
2025-07-01,CMP04,CAN02,518300,125946,2454,246,71,18,2891800
2025-07-01,CMP05,CAN03,840300,96238,972,117,53,15,4662600
2025-07-01,CMP06,CAN03,605500,67095,770,94,41,13,5094100
2025-07-01,CMP07,CAN04,124200,100656,3280,245,45,9,876700
2025-07-01,CMP08,CAN04,141800,63679,2515,250,59,15,1813700
2025-08-01,CMP01,CAN01,856900,183275,8700,796,247,66,14346700
2025-08-01,CMP02,CAN01,632200,135169,5923,506,152,44,8054100
2025-08-01,CMP03,CAN02,655000,313871,3680,332,70,14,1919200
2025-08-01,CMP04,CAN02,495000,122860,2467,260,68,16,2577700
2025-08-01,CMP05,CAN03,726300,92892,973,126,52,15,5094900
2025-08-01,CMP06,CAN03,640000,66233,804,106,48,15,5559500
2025-08-01,CMP07,CAN04,115300,103930,3318,216,40,8,847800
2025-08-01,CMP08,CAN04,139900,61842,2661,246,55,12,1447900
2025-09-01,CMP01,CAN01,836000,167872,7726,774,242,66,13041000
2025-09-01,CMP02,CAN01,716100,133131,5380,494,150,38,6890700
2025-09-01,CMP03,CAN02,633300,306589,3472,294,61,12,1769500
2025-09-01,CMP04,CAN02,475100,113396,2053,232,61,15,2485200
2025-09-01,CMP05,CAN03,768000,91897,947,120,48,15,5215700
2025-09-01,CMP06,CAN03,632300,63256,791,107,52,18,6951700
2025-09-01,CMP07,CAN04,126100,104996,3451,253,48,10,950700
2025-09-01,CMP08,CAN04,147400,65624,2578,229,52,13,1610400
2025-10-01,CMP01,CAN01,841600,167552,7898,760,244,71,15237700
2025-10-01,CMP02,CAN01,719500,127508,5066,429,125,36,6357700
2025-10-01,CMP03,CAN02,593100,296199,3581,315,74,16,2387100
2025-10-01,CMP04,CAN02,457700,113274,2098,208,61,15,2405300
2025-10-01,CMP05,CAN03,739700,79766,795,100,45,14,4683400
2025-10-01,CMP06,CAN03,637900,69523,863,120,57,19,7019400
2025-10-01,CMP07,CAN04,124300,100932,3059,198,33,6,577400
2025-10-01,CMP08,CAN04,148800,58287,2521,235,55,14,1589400
2025-11-01,CMP01,CAN01,846200,153544,6805,654,221,64,13129600
2025-11-01,CMP02,CAN01,620000,131795,5341,490,137,36,6821400
2025-11-01,CMP03,CAN02,562600,284253,3330,305,65,13,1861600
2025-11-01,CMP04,CAN02,447900,110177,2089,234,66,17,2925600
2025-11-01,CMP05,CAN03,724500,80038,787,91,41,13,4310500
2025-11-01,CMP06,CAN03,566500,64100,755,101,47,16,5857800
2025-11-01,CMP07,CAN04,113000,106527,3363,253,46,8,780800
2025-11-01,CMP08,CAN04,141000,58738,2436,236,56,13,1476400
2025-12-01,CMP01,CAN01,802700,140443,6487,615,184,52,11470900
2025-12-01,CMP02,CAN01,570700,110610,4516,407,117,33,5928600
2025-12-01,CMP03,CAN02,517500,279419,3286,281,59,13,1951300
2025-12-01,CMP04,CAN02,448400,110984,2134,229,65,16,2638000
2025-12-01,CMP05,CAN03,674200,73124,721,90,39,13,4211300
2025-12-01,CMP06,CAN03,542200,62465,751,91,43,13,4637300
2025-12-01,CMP07,CAN04,102100,97261,2961,205,38,8,787100
2025-12-01,CMP08,CAN04,122600,55457,2310,223,58,13,1593200
