VendaID,Data,LojaID,ProdutoID,VendedorID,Quantidade,PrecoUnitarioCentavos,CustoUnitarioCentavos,DescontoPct,Status
VEN00050,2025-12-01,L04,P04,VND08,2,9700,5600,5,Concluida
VEN00051,2025-01-31,L04,P12,VND08,5,24100,14000,5,Cancelada
VEN00052,2025-12-14,L07,P01,VND14,4,4300,2450,10,Concluida
VEN00053,2025-04-04,L04,P01,VND08,1,4300,2450,0,Concluida
VEN00054,2025-09-14,L04,P11,VND08,3,22300,12950,0,Concluida
VEN00055,2025-11-21,L08,P03,VND16,1,7900,4550,5,Concluida
VEN00056,2025-06-18,L03,P07,VND05,5,15100,8750,0,Concluida
VEN00057,2025-08-04,L08,P06,VND15,5,13300,7700,0,Concluida
VEN00058,2025-02-09,L01,P06,VND02,5,13300,7700,0,Concluida
VEN00059,2025-02-20,L06,P03,VND12,4,7900,4550,10,Concluida
VEN00060,2025-03-17,L04,P05,VND07,1,11500,6650,5,Concluida
VEN00061,2025-06-18,L07,P05,VND13,3,11500,6650,0,Concluida
VEN00062,2025-09-01,L05,P01,VND10,1,4300,2450,0,Concluida
VEN00063,2025-06-29,L07,P04,VND14,3,9700,5600,0,Concluida
VEN00064,2025-02-21,L02,P05,VND03,2,11500,6650,10,Concluida
VEN00065,2025-08-17,L07,P10,VND13,1,20500,11900,10,Concluida
VEN00066,2025-11-26,L08,P04,VND16,5,9700,5600,10,Concluida
VEN00067,2025-10-17,L05,P05,VND10,1,11500,6650,5,Concluida
VEN00068,2025-07-20,L03,P01,VND06,4,4300,2450,5,Cancelada
VEN00069,2025-01-20,L07,P08,VND13,2,16900,9800,10,Concluida
VEN00070,2025-05-06,L06,P10,VND11,3,20500,11900,0,Concluida
VEN00071,2025-07-04,L01,P11,VND01,5,22300,12950,0,Concluida
VEN00072,2025-05-25,L08,P07,VND16,1,15100,8750,0,Concluida
VEN00073,2025-06-16,L06,P01,VND12,5,4300,2450,0,Concluida
VEN00074,2025-08-05,L05,P08,VND10,5,16900,9800,0,Concluida
VEN00075,2025-11-26,L01,P11,VND02,5,22300,12950,0,Concluida
VEN00076,2025-12-01,L01,P11,VND02,2,22300,12950,5,Concluida
VEN00077,2025-06-22,L02,P08,VND03,1,16900,9800,5,Concluida
VEN00078,2025-04-11,L07,P02,VND13,3,6100,3500,10,Concluida
VEN00079,2025-08-28,L06,P05,VND12,2,11500,6650,0,Concluida
VEN00080,2025-06-25,L06,P06,VND12,3,13300,7700,5,Concluida
VEN00081,2025-11-02,L07,P07,VND14,1,15100,8750,5,Concluida
VEN00082,2025-04-21,L04,P08,VND07,1,16900,9800,10,Concluida
VEN00083,2025-02-21,L08,P12,VND15,4,24100,14000,5,Concluida
VEN00084,2025-06-07,L04,P11,VND07,2,22300,12950,0,Concluida
VEN00085,2025-03-03,L04,P09,VND08,5,18700,10850,0,Cancelada
VEN00086,2025-01-12,L04,P11,VND07,1,22300,12950,5,Concluida
VEN00087,2025-08-01,L03,P07,VND05,5,15100,8750,5,Concluida
VEN00088,2025-10-28,L01,P08,VND01,3,16900,9800,10,Concluida
VEN00089,2025-07-02,L01,P09,VND01,2,18700,10850,0,Concluida
VEN00090,2025-03-29,L07,P02,VND13,2,6100,3500,0,Concluida
VEN00091,2025-09-06,L04,P10,VND08,3,20500,11900,0,Concluida
VEN00092,2025-01-18,L06,P05,VND11,2,11500,6650,0,Concluida
VEN00093,2025-05-20,L03,P06,VND06,2,13300,7700,0,Concluida
VEN00094,2025-05-10,L01,P05,VND02,4,11500,6650,10,Concluida
VEN00095,2025-10-14,L03,P01,VND05,2,4300,2450,0,Concluida
VEN00096,2025-11-09,L05,P04,VND10,3,9700,5600,0,Concluida
VEN00097,2025-11-27,L06,P10,VND11,4,20500,11900,5,Concluida
VEN00098,2025-10-13,L03,P07,VND06,3,15100,8750,0,Concluida
VEN00099,2025-10-02,L05,P03,VND10,3,7900,4550,5,Concluida
VEN00100,2025-06-17,L04,P12,VND07,5,24100,14000,10,Concluida
VEN00101,2025-07-13,L03,P08,VND06,3,16900,9800,5,Concluida
VEN00102,2025-07-19,L02,P12,VND04,3,24100,14000,10,Cancelada
VEN00103,2025-10-12,L06,P07,VND11,1,15100,8750,10,Concluida
VEN00104,2025-07-05,L08,P10,VND16,4,20500,11900,0,Concluida
VEN00105,2025-03-05,L07,P02,VND14,2,6100,3500,0,Concluida
VEN00106,2025-05-19,L04,P05,VND07,5,11500,6650,0,Concluida
VEN00107,2025-04-26,L02,P12,VND03,5,24100,14000,5,Concluida
VEN00108,2025-04-15,L03,P09,VND06,3,18700,10850,0,Concluida
VEN00109,2025-04-28,L04,P11,VND07,3,22300,12950,5,Concluida
VEN00110,2025-05-29,L05,P11,VND10,2,22300,12950,0,Concluida
VEN00111,2025-08-24,L08,P07,VND16,4,15100,8750,0,Concluida
VEN00112,2025-05-03,L05,P11,VND10,2,22300,12950,5,Concluida
VEN00113,2025-05-18,L01,P05,VND01,2,11500,6650,0,Concluida
VEN00114,2025-07-31,L02,P02,VND04,1,6100,3500,5,Concluida
VEN00115,2025-11-17,L03,P08,VND06,3,16900,9800,0,Concluida
VEN00116,2025-09-23,L04,P08,VND07,5,16900,9800,0,Concluida
VEN00117,2025-02-26,L03,P02,VND05,3,6100,3500,0,Concluida
VEN00118,2025-10-19,L03,P10,VND05,5,20500,11900,5,Concluida
VEN00119,2025-01-22,L04,P12,VND08,1,24100,14000,0,Cancelada
VEN00120,2025-02-09,L08,P11,VND15,3,22300,12950,0,Concluida
VEN00121,2025-09-13,L06,P10,VND12,5,20500,11900,5,Concluida
VEN00122,2025-07-18,L03,P09,VND05,2,18700,10850,5,Concluida
VEN00123,2025-05-07,L02,P04,VND03,4,9700,5600,0,Concluida
VEN00124,2025-03-24,L07,P04,VND14,4,9700,5600,5,Concluida
VEN00125,2025-07-18,L07,P08,VND13,1,16900,9800,10,Concluida
VEN00126,2025-11-06,L03,P01,VND06,1,4300,2450,5,Concluida
VEN00127,2025-07-31,L01,P01,VND01,3,4300,2450,10,Concluida
VEN00128,2025-02-15,L05,P05,VND10,2,11500,6650,0,Concluida
VEN00129,2025-09-13,L08,P10,VND15,1,20500,11900,0,Concluida
VEN00130,2025-05-08,L07,P05,VND13,2,11500,6650,10,Concluida
VEN00131,2025-09-14,L07,P03,VND14,2,7900,4550,5,Concluida
VEN00132,2025-11-27,L02,P09,VND04,4,18700,10850,0,Concluida
VEN00133,2025-08-13,L03,P06,VND05,3,13300,7700,10,Concluida
VEN00134,2025-03-07,L04,P05,VND08,3,11500,6650,0,Concluida
VEN00135,2025-10-14,L04,P12,VND08,3,24100,14000,0,Concluida
VEN00136,2025-01-15,L02,P05,VND03,1,11500,6650,0,Cancelada
VEN00137,2025-03-04,L05,P07,VND10,1,15100,8750,10,Concluida
VEN00138,2025-02-25,L06,P02,VND12,2,6100,3500,0,Concluida
VEN00139,2025-08-03,L07,P07,VND13,3,15100,8750,10,Concluida
VEN00140,2025-11-28,L03,P06,VND05,1,13300,7700,0,Concluida
VEN00141,2025-09-11,L02,P12,VND03,5,24100,14000,10,Concluida
VEN00142,2025-07-18,L08,P01,VND15,5,4300,2450,5,Concluida
VEN00143,2025-03-08,L07,P05,VND13,2,11500,6650,5,Concluida
VEN00144,2025-06-27,L02,P03,VND03,4,7900,4550,10,Concluida
VEN00145,2025-01-15,L07,P05,VND13,5,11500,6650,0,Concluida
VEN00146,2025-07-03,L03,P01,VND05,2,4300,2450,0,Concluida
VEN00147,2025-05-30,L01,P05,VND02,3,11500,6650,0,Concluida
VEN00148,2025-07-13,L04,P01,VND07,4,4300,2450,0,Concluida
VEN00149,2025-02-24,L04,P02,VND08,4,6100,3500,0,Concluida
VEN00150,2025-12-15,L06,P12,VND11,4,24100,14000,0,Concluida
VEN00151,2025-10-22,L07,P11,VND14,1,22300,12950,5,Concluida
VEN00152,2025-05-05,L04,P05,VND07,1,11500,6650,0,Concluida
VEN00153,2025-05-31,L06,P02,VND12,1,6100,3500,0,Cancelada
VEN00154,2025-11-16,L08,P06,VND15,5,13300,7700,0,Concluida
VEN00155,2025-12-26,L07,P05,VND14,2,11500,6650,10,Concluida
VEN00156,2025-06-05,L06,P04,VND12,3,9700,5600,0,Concluida
VEN00157,2025-12-09,L03,P05,VND05,5,11500,6650,0,Concluida
VEN00158,2025-07-30,L01,P10,VND01,3,20500,11900,0,Concluida
VEN00159,2025-10-05,L02,P10,VND04,4,20500,11900,5,Concluida
VEN00160,2025-07-28,L08,P02,VND15,2,6100,3500,5,Concluida
VEN00161,2025-08-30,L08,P03,VND15,2,7900,4550,5,Concluida
VEN00162,2025-10-14,L06,P02,VND11,2,6100,3500,0,Concluida
VEN00163,2025-12-28,L04,P08,VND07,5,16900,9800,0,Concluida
VEN00164,2025-03-10,L07,P02,VND13,3,6100,3500,0,Concluida
VEN00165,2025-10-09,L04,P10,VND07,4,20500,11900,0,Concluida
VEN00166,2025-05-19,L01,P03,VND02,4,7900,4550,5,Concluida
VEN00167,2025-12-03,L06,P05,VND11,4,11500,6650,10,Concluida
VEN00168,2025-03-13,L08,P04,VND15,1,9700,5600,5,Concluida
VEN00169,2025-10-18,L03,P10,VND06,3,20500,11900,10,Concluida
VEN00170,2025-06-09,L07,P11,VND14,4,22300,12950,0,Cancelada
VEN00171,2025-10-14,L03,P03,VND06,5,7900,4550,0,Concluida
VEN00172,2025-01-14,L04,P12,VND08,5,24100,14000,0,Concluida
VEN00173,2025-05-25,L02,P10,VND04,4,20500,11900,5,Concluida
VEN00174,2025-07-15,L07,P11,VND13,2,22300,12950,5,Concluida
VEN00175,2025-05-02,L04,P01,VND07,2,4300,2450,10,Concluida
VEN00176,2025-10-07,L06,P10,VND12,3,20500,11900,5,Concluida
VEN00177,2025-03-30,L07,P11,VND13,5,22300,12950,0,Concluida
VEN00178,2025-05-20,L06,P03,VND11,5,7900,4550,10,Concluida
VEN00179,2025-05-31,L05,P10,VND09,1,20500,11900,10,Concluida
VEN00180,2025-07-09,L06,P05,VND11,3,11500,6650,10,Concluida
VEN00181,2025-02-10,L05,P04,VND10,1,9700,5600,10,Concluida
VEN00182,2025-12-14,L05,P11,VND10,4,22300,12950,5,Concluida
VEN00183,2025-08-02,L03,P10,VND05,4,20500,11900,0,Concluida
VEN00184,2025-02-01,L08,P08,VND15,3,16900,9800,0,Concluida
VEN00185,2025-07-29,L01,P01,VND02,1,4300,2450,0,Concluida
VEN00186,2025-08-29,L07,P01,VND14,5,4300,2450,0,Concluida
VEN00187,2025-02-15,L07,P09,VND13,3,18700,10850,5,Cancelada
VEN00188,2025-05-25,L08,P08,VND15,5,16900,9800,0,Concluida
VEN00189,2025-07-23,L02,P09,VND03,3,18700,10850,10,Concluida
VEN00190,2025-04-13,L05,P05,VND10,1,11500,6650,0,Concluida
VEN00191,2025-05-24,L05,P07,VND09,3,15100,8750,5,Concluida
VEN00192,2025-11-22,L08,P10,VND16,2,20500,11900,0,Concluida
VEN00193,2025-12-24,L07,P09,VND13,2,18700,10850,0,Concluida
VEN00194,2025-04-11,L06,P10,VND11,5,20500,11900,0,Concluida
VEN00195,2025-11-24,L05,P09,VND10,2,18700,10850,5,Concluida
VEN00196,2025-11-15,L03,P08,VND05,3,16900,9800,0,Concluida
VEN00197,2025-07-27,L02,P12,VND04,2,24100,14000,10,Concluida
VEN00198,2025-09-26,L04,P11,VND07,3,22300,12950,10,Concluida
VEN00199,2025-04-07,L02,P04,VND04,2,9700,5600,0,Concluida
VEN00200,2025-11-29,L02,P12,VND03,4,24100,14000,0,Concluida
VEN00201,2025-05-24,L06,P01,VND11,4,4300,2450,0,Concluida
VEN00202,2025-06-13,L01,P06,VND02,4,13300,7700,5,Concluida
VEN00203,2025-03-06,L06,P08,VND11,3,16900,9800,5,Concluida
VEN00204,2025-06-08,L05,P04,VND09,1,9700,5600,5,Cancelada
VEN00205,2025-05-22,L02,P07,VND04,1,15100,8750,5,Concluida
VEN00206,2025-12-20,L07,P02,VND13,2,6100,3500,0,Concluida
VEN00207,2025-07-06,L04,P03,VND08,4,7900,4550,0,Concluida
VEN00208,2025-01-21,L08,P06,VND16,2,13300,7700,10,Concluida
VEN00209,2025-08-07,L01,P09,VND01,4,18700,10850,0,Concluida
VEN00210,2025-06-10,L05,P06,VND10,3,13300,7700,0,Concluida
VEN00211,2025-08-08,L08,P11,VND15,4,22300,12950,0,Concluida
VEN00212,2025-10-07,L01,P04,VND02,5,9700,5600,0,Concluida
VEN00213,2025-03-01,L06,P11,VND11,1,22300,12950,0,Concluida
VEN00214,2025-07-21,L08,P03,VND16,5,7900,4550,10,Concluida
VEN00215,2025-05-25,L04,P12,VND08,3,24100,14000,0,Concluida
VEN00216,2025-07-13,L04,P03,VND08,1,7900,4550,10,Concluida
VEN00217,2025-12-17,L08,P02,VND15,3,6100,3500,0,Concluida
VEN00218,2025-03-17,L05,P02,VND09,5,6100,3500,5,Concluida
VEN00219,2025-07-20,L07,P10,VND14,2,20500,11900,0,Concluida
VEN00220,2025-07-14,L08,P07,VND16,5,15100,8750,10,Concluida
VEN00221,2025-07-24,L03,P12,VND05,2,24100,14000,5,Cancelada
VEN00222,2025-09-07,L03,P02,VND05,2,6100,3500,0,Concluida
VEN00223,2025-04-28,L07,P01,VND14,5,4300,2450,10,Concluida
VEN00224,2025-12-01,L02,P07,VND03,3,15100,8750,0,Concluida
VEN00225,2025-02-06,L06,P09,VND12,5,18700,10850,10,Concluida
VEN00226,2025-07-23,L05,P01,VND09,1,4300,2450,5,Concluida
VEN00227,2025-11-16,L06,P12,VND11,2,24100,14000,0,Concluida
VEN00228,2025-04-14,L01,P10,VND01,2,20500,11900,0,Concluida
VEN00229,2025-01-05,L06,P01,VND12,4,4300,2450,0,Concluida
VEN00230,2025-10-29,L07,P03,VND13,2,7900,4550,10,Concluida
VEN00231,2025-02-19,L01,P11,VND02,4,22300,12950,0,Concluida
VEN00232,2025-08-20,L05,P07,VND09,3,15100,8750,0,Concluida
VEN00233,2025-08-21,L05,P08,VND10,1,16900,9800,0,Concluida
VEN00234,2025-11-29,L01,P09,VND02,5,18700,10850,10,Concluida
VEN00235,2025-04-28,L03,P06,VND05,4,13300,7700,0,Concluida
VEN00236,2025-09-09,L02,P02,VND04,4,6100,3500,5,Concluida
VEN00237,2025-12-01,L08,P12,VND15,3,24100,14000,10,Concluida
VEN00238,2025-03-09,L08,P05,VND15,5,11500,6650,10,Cancelada
VEN00239,2025-02-22,L02,P07,VND04,3,15100,8750,0,Concluida
VEN00240,2025-10-15,L03,P02,VND05,2,6100,3500,10,Concluida
VEN00241,2025-12-27,L01,P07,VND02,2,15100,8750,0,Concluida
VEN00242,2025-04-30,L04,P10,VND08,5,20500,11900,0,Concluida
VEN00243,2025-12-24,L06,P05,VND12,1,11500,6650,0,Concluida
VEN00244,2025-07-03,L07,P01,VND13,3,4300,2450,0,Concluida
VEN00245,2025-05-22,L06,P04,VND11,5,9700,5600,0,Concluida
VEN00246,2025-09-07,L03,P09,VND05,3,18700,10850,0,Concluida
VEN00247,2025-04-16,L01,P04,VND02,2,9700,5600,0,Concluida
VEN00248,2025-08-01,L04,P08,VND07,4,16900,9800,0,Concluida
VEN00249,2025-05-12,L02,P03,VND03,4,7900,4550,5,Concluida
VEN00250,2025-06-26,L01,P10,VND01,1,20500,11900,0,Concluida
VEN00251,2025-10-08,L03,P01,VND06,3,4300,2450,5,Concluida
VEN00252,2025-12-26,L02,P11,VND03,5,22300,12950,5,Concluida
VEN00253,2025-12-23,L07,P11,VND13,5,22300,12950,0,Concluida
VEN00254,2025-08-23,L01,P08,VND01,5,16900,9800,10,Concluida
VEN00255,2025-01-11,L06,P01,VND11,5,4300,2450,0,Cancelada
VEN00256,2025-12-05,L06,P05,VND11,3,11500,6650,10,Concluida
VEN00257,2025-02-25,L07,P02,VND14,4,6100,3500,5,Concluida
VEN00258,2025-10-30,L06,P12,VND12,1,24100,14000,10,Concluida
VEN00259,2025-02-12,L01,P08,VND02,1,16900,9800,10,Concluida
VEN00260,2025-02-22,L07,P09,VND13,3,18700,10850,10,Concluida
VEN00261,2025-07-01,L08,P10,VND16,3,20500,11900,5,Concluida
VEN00262,2025-12-02,L05,P12,VND09,3,24100,14000,0,Concluida
VEN00263,2025-03-13,L07,P03,VND14,2,7900,4550,10,Concluida
VEN00264,2025-02-11,L02,P05,VND04,5,11500,6650,0,Concluida
VEN00265,2025-07-10,L04,P09,VND07,1,18700,10850,0,Concluida
VEN00266,2025-07-07,L06,P01,VND11,5,4300,2450,0,Concluida
VEN00267,2025-04-07,L07,P05,VND13,3,11500,6650,0,Concluida
VEN00268,2025-11-04,L03,P12,VND05,3,24100,14000,5,Concluida
VEN00269,2025-01-09,L04,P05,VND07,5,11500,6650,0,Concluida
VEN00270,2025-01-08,L08,P09,VND15,5,18700,10850,10,Concluida
VEN00271,2025-11-15,L05,P11,VND09,3,22300,12950,5,Concluida
VEN00272,2025-10-17,L07,P07,VND13,1,15100,8750,0,Cancelada
VEN00273,2025-08-30,L06,P09,VND12,3,18700,10850,0,Concluida
VEN00274,2025-09-10,L02,P12,VND03,1,24100,14000,0,Concluida
VEN00275,2025-09-10,L06,P11,VND12,5,22300,12950,5,Concluida
VEN00276,2025-02-05,L06,P02,VND11,1,6100,3500,10,Concluida
VEN00277,2025-11-20,L05,P01,VND10,5,4300,2450,0,Concluida
VEN00278,2025-08-06,L01,P01,VND02,5,4300,2450,0,Concluida
VEN00279,2025-03-08,L02,P06,VND03,4,13300,7700,5,Concluida
VEN00280,2025-11-28,L04,P09,VND08,2,18700,10850,10,Concluida
VEN00281,2025-11-30,L02,P03,VND04,5,7900,4550,0,Concluida
VEN00282,2025-11-24,L02,P06,VND03,3,13300,7700,5,Concluida
VEN00283,2025-12-25,L01,P11,VND01,3,22300,12950,10,Concluida
VEN00284,2025-08-18,L08,P03,VND15,3,7900,4550,10,Concluida
VEN00285,2025-10-22,L06,P12,VND11,4,24100,14000,0,Concluida
VEN00286,2025-11-22,L02,P01,VND04,3,4300,2450,10,Concluida
VEN00287,2025-08-02,L01,P02,VND02,1,6100,3500,0,Concluida
VEN00288,2025-12-17,L01,P10,VND01,2,20500,11900,5,Concluida
VEN00289,2025-01-22,L02,P03,VND04,4,7900,4550,5,Cancelada
VEN00290,2025-04-28,L05,P10,VND10,2,20500,11900,5,Concluida
VEN00291,2025-08-22,L01,P10,VND02,5,20500,11900,10,Concluida
VEN00292,2025-09-14,L05,P02,VND10,3,6100,3500,5,Concluida
VEN00293,2025-10-11,L06,P05,VND11,5,11500,6650,10,Concluida
VEN00294,2025-07-24,L08,P07,VND15,4,15100,8750,0,Concluida
VEN00295,2025-12-28,L02,P08,VND04,3,16900,9800,0,Concluida
VEN00296,2025-01-10,L02,P04,VND04,5,9700,5600,10,Concluida
VEN00297,2025-05-10,L04,P08,VND07,2,16900,9800,10,Concluida
VEN00298,2025-06-21,L01,P12,VND01,1,24100,14000,0,Concluida
VEN00299,2025-10-26,L05,P12,VND09,2,24100,14000,0,Concluida
VEN00300,2025-10-19,L07,P03,VND14,2,7900,4550,5,Concluida
VEN00301,2025-05-15,L07,P04,VND14,1,9700,5600,5,Concluida
VEN00302,2025-06-08,L02,P08,VND03,3,16900,9800,0,Concluida
VEN00303,2025-07-03,L08,P11,VND16,1,22300,12950,10,Concluida
VEN00304,2025-08-03,L07,P08,VND14,1,16900,9800,5,Concluida
VEN00305,2025-11-24,L01,P04,VND02,3,9700,5600,10,Concluida
VEN00306,2025-02-28,L08,P06,VND15,4,13300,7700,5,Cancelada
VEN00307,2025-05-21,L03,P01,VND06,3,4300,2450,0,Concluida
VEN00308,2025-11-11,L03,P10,VND05,5,20500,11900,5,Concluida
VEN00309,2025-04-22,L04,P06,VND07,5,13300,7700,5,Concluida
VEN00310,2025-03-12,L01,P10,VND01,5,20500,11900,0,Concluida
VEN00311,2025-05-01,L03,P02,VND05,1,6100,3500,5,Concluida
VEN00312,2025-02-28,L07,P04,VND13,5,9700,5600,5,Concluida
VEN00313,2025-06-21,L06,P10,VND12,3,20500,11900,0,Concluida
VEN00314,2025-06-12,L05,P07,VND10,5,15100,8750,5,Concluida
VEN00315,2025-06-10,L05,P12,VND10,3,24100,14000,0,Concluida
VEN00316,2025-11-01,L05,P06,VND10,2,13300,7700,0,Concluida
VEN00317,2025-03-13,L04,P02,VND08,5,6100,3500,10,Concluida
VEN00318,2025-04-10,L04,P03,VND07,2,7900,4550,10,Concluida
VEN00319,2025-05-14,L07,P01,VND14,1,4300,2450,0,Concluida
VEN00320,2025-11-22,L04,P12,VND07,1,24100,14000,0,Concluida
VEN00321,2025-02-14,L05,P12,VND09,4,24100,14000,0,Concluida
VEN00322,2025-06-16,L02,P12,VND04,1,24100,14000,10,Concluida
VEN00323,2025-08-26,L02,P02,VND04,3,6100,3500,0,Cancelada
VEN00324,2025-12-14,L07,P11,VND13,1,22300,12950,10,Concluida
VEN00325,2025-04-07,L05,P05,VND09,3,11500,6650,0,Concluida
VEN00326,2025-03-12,L05,P03,VND09,5,7900,4550,0,Concluida
VEN00327,2025-03-28,L02,P02,VND04,2,6100,3500,0,Concluida
VEN00328,2025-12-19,L05,P09,VND10,1,18700,10850,5,Concluida
VEN00329,2025-11-09,L05,P04,VND09,4,9700,5600,0,Concluida
VEN00330,2025-06-05,L01,P09,VND02,5,18700,10850,10,Concluida
VEN00331,2025-08-29,L04,P12,VND08,1,24100,14000,0,Concluida
VEN00332,2025-11-11,L06,P10,VND12,2,20500,11900,0,Concluida
VEN00333,2025-12-08,L07,P07,VND14,5,15100,8750,10,Concluida
VEN00334,2025-03-23,L08,P07,VND15,5,15100,8750,0,Concluida
VEN00335,2025-12-03,L08,P08,VND16,2,16900,9800,0,Concluida
VEN00336,2025-02-23,L07,P10,VND14,5,20500,11900,0,Concluida
VEN00337,2025-08-22,L03,P04,VND06,2,9700,5600,0,Concluida
VEN00338,2025-03-03,L04,P05,VND08,5,11500,6650,0,Concluida
VEN00339,2025-01-19,L04,P04,VND07,1,9700,5600,0,Concluida
VEN00340,2025-11-14,L07,P12,VND14,3,24100,14000,5,Cancelada
VEN00341,2025-11-15,L08,P05,VND16,5,11500,6650,5,Concluida
VEN00342,2025-12-17,L06,P10,VND11,5,20500,11900,5,Concluida
VEN00343,2025-03-13,L04,P08,VND08,3,16900,9800,0,Concluida
VEN00344,2025-09-14,L02,P08,VND03,5,16900,9800,0,Concluida
VEN00345,2025-07-30,L04,P09,VND07,1,18700,10850,5,Concluida
VEN00346,2025-12-06,L08,P01,VND16,3,4300,2450,10,Concluida
VEN00347,2025-02-10,L02,P02,VND03,4,6100,3500,10,Concluida
VEN00348,2025-09-14,L04,P07,VND07,4,15100,8750,0,Concluida
VEN00349,2025-02-12,L07,P12,VND13,4,24100,14000,10,Concluida
VEN00350,2025-10-19,L07,P11,VND13,5,22300,12950,0,Concluida
VEN00351,2025-11-19,L02,P07,VND04,4,15100,8750,5,Concluida
VEN00352,2025-09-30,L07,P07,VND14,5,15100,8750,0,Concluida
VEN00353,2025-09-05,L05,P03,VND10,2,7900,4550,0,Concluida
VEN00354,2025-01-16,L06,P12,VND11,2,24100,14000,0,Concluida
VEN00355,2025-03-16,L03,P11,VND05,5,22300,12950,10,Concluida
VEN00356,2025-01-25,L05,P04,VND10,3,9700,5600,10,Concluida
VEN00357,2025-12-10,L03,P02,VND06,1,6100,3500,0,Cancelada
VEN00358,2025-05-24,L05,P04,VND10,5,9700,5600,5,Concluida
VEN00359,2025-10-22,L01,P11,VND01,4,22300,12950,5,Concluida
VEN00360,2025-01-03,L06,P09,VND12,5,18700,10850,0,Concluida
VEN00361,2025-07-03,L04,P10,VND08,5,20500,11900,0,Concluida
VEN00362,2025-03-19,L02,P06,VND03,2,13300,7700,10,Concluida
VEN00363,2025-10-17,L07,P01,VND13,1,4300,2450,10,Concluida
VEN00364,2025-09-15,L07,P02,VND14,4,6100,3500,5,Concluida
