VendaID,Data,LojaID,ProdutoID,VendedorID,Quantidade,PrecoUnitarioCentavos,CustoUnitarioCentavos,DescontoPct,Status,ReceitaBrutaCentavos,DescontoCentavos,ReceitaLiquidaCentavos,CustoCentavos,LucroBrutoCentavos
VEN00140,2025-11-28,L03,P06,VND05,1,13300,7700,0,Concluida,13300,0,13300,7700,5600
VEN00141,2025-09-11,L02,P12,VND03,5,24100,14000,10,Concluida,120500,12050,108450,70000,38450
VEN00142,2025-07-18,L08,P01,VND15,5,4300,2450,5,Concluida,21500,1075,20425,12250,8175
VEN00143,2025-03-08,L07,P05,VND13,2,11500,6650,5,Concluida,23000,1150,21850,13300,8550
VEN00144,2025-06-27,L02,P03,VND03,4,7900,4550,10,Concluida,31600,3160,28440,18200,10240
VEN00145,2025-01-15,L07,P05,VND13,5,11500,6650,0,Concluida,57500,0,57500,33250,24250
VEN00146,2025-07-03,L03,P01,VND05,2,4300,2450,0,Concluida,8600,0,8600,4900,3700
VEN00147,2025-05-30,L01,P05,VND02,3,11500,6650,0,Concluida,34500,0,34500,19950,14550
VEN00148,2025-07-13,L04,P01,VND07,4,4300,2450,0,Concluida,17200,0,17200,9800,7400
VEN00149,2025-02-24,L04,P02,VND08,4,6100,3500,0,Concluida,24400,0,24400,14000,10400
VEN00150,2025-12-15,L06,P12,VND11,4,24100,14000,0,Concluida,96400,0,96400,56000,40400
VEN00151,2025-10-22,L07,P11,VND14,1,22300,12950,5,Concluida,22300,1115,21185,12950,8235
VEN00152,2025-05-05,L04,P05,VND07,1,11500,6650,0,Concluida,11500,0,11500,6650,4850
VEN00154,2025-11-16,L08,P06,VND15,5,13300,7700,0,Concluida,66500,0,66500,38500,28000
VEN00155,2025-12-26,L07,P05,VND14,2,11500,6650,10,Concluida,23000,2300,20700,13300,7400
VEN00156,2025-06-05,L06,P04,VND12,3,9700,5600,0,Concluida,29100,0,29100,16800,12300
VEN00157,2025-12-09,L03,P05,VND05,5,11500,6650,0,Concluida,57500,0,57500,33250,24250
VEN00158,2025-07-30,L01,P10,VND01,3,20500,11900,0,Concluida,61500,0,61500,35700,25800
VEN00159,2025-10-05,L02,P10,VND04,4,20500,11900,5,Concluida,82000,4100,77900,47600,30300
VEN00160,2025-07-28,L08,P02,VND15,2,6100,3500,5,Concluida,12200,610,11590,7000,4590
VEN00161,2025-08-30,L08,P03,VND15,2,7900,4550,5,Concluida,15800,790,15010,9100,5910
VEN00162,2025-10-14,L06,P02,VND11,2,6100,3500,0,Concluida,12200,0,12200,7000,5200
VEN00163,2025-12-28,L04,P08,VND07,5,16900,9800,0,Concluida,84500,0,84500,49000,35500
VEN00164,2025-03-10,L07,P02,VND13,3,6100,3500,0,Concluida,18300,0,18300,10500,7800
VEN00165,2025-10-09,L04,P10,VND07,4,20500,11900,0,Concluida,82000,0,82000,47600,34400
VEN00166,2025-05-19,L01,P03,VND02,4,7900,4550,5,Concluida,31600,1580,30020,18200,11820
VEN00167,2025-12-03,L06,P05,VND11,4,11500,6650,10,Concluida,46000,4600,41400,26600,14800
VEN00168,2025-03-13,L08,P04,VND15,1,9700,5600,5,Concluida,9700,485,9215,5600,3615
VEN00169,2025-10-18,L03,P10,VND06,3,20500,11900,10,Concluida,61500,6150,55350,35700,19650
VEN00171,2025-10-14,L03,P03,VND06,5,7900,4550,0,Concluida,39500,0,39500,22750,16750
VEN00172,2025-01-14,L04,P12,VND08,5,24100,14000,0,Concluida,120500,0,120500,70000,50500
VEN00173,2025-05-25,L02,P10,VND04,4,20500,11900,5,Concluida,82000,4100,77900,47600,30300
VEN00174,2025-07-15,L07,P11,VND13,2,22300,12950,5,Concluida,44600,2230,42370,25900,16470
VEN00175,2025-05-02,L04,P01,VND07,2,4300,2450,10,Concluida,8600,860,7740,4900,2840
VEN00176,2025-10-07,L06,P10,VND12,3,20500,11900,5,Concluida,61500,3075,58425,35700,22725
VEN00177,2025-03-30,L07,P11,VND13,5,22300,12950,0,Concluida,111500,0,111500,64750,46750
VEN00178,2025-05-20,L06,P03,VND11,5,7900,4550,10,Concluida,39500,3950,35550,22750,12800
VEN00179,2025-05-31,L05,P10,VND09,1,20500,11900,10,Concluida,20500,2050,18450,11900,6550
VEN00180,2025-07-09,L06,P05,VND11,3,11500,6650,10,Concluida,34500,3450,31050,19950,11100
VEN00181,2025-02-10,L05,P04,VND10,1,9700,5600,10,Concluida,9700,970,8730,5600,3130
VEN00182,2025-12-14,L05,P11,VND10,4,22300,12950,5,Concluida,89200,4460,84740,51800,32940
VEN00183,2025-08-02,L03,P10,VND05,4,20500,11900,0,Concluida,82000,0,82000,47600,34400
VEN00184,2025-02-01,L08,P08,VND15,3,16900,9800,0,Concluida,50700,0,50700,29400,21300
VEN00185,2025-07-29,L01,P01,VND02,1,4300,2450,0,Concluida,4300,0,4300,2450,1850
VEN00186,2025-08-29,L07,P01,VND14,5,4300,2450,0,Concluida,21500,0,21500,12250,9250
VEN00188,2025-05-25,L08,P08,VND15,5,16900,9800,0,Concluida,84500,0,84500,49000,35500
VEN00189,2025-07-23,L02,P09,VND03,3,18700,10850,10,Concluida,56100,5610,50490,32550,17940
VEN00190,2025-04-13,L05,P05,VND10,1,11500,6650,0,Concluida,11500,0,11500,6650,4850
VEN00191,2025-05-24,L05,P07,VND09,3,15100,8750,5,Concluida,45300,2265,43035,26250,16785
VEN00192,2025-11-22,L08,P10,VND16,2,20500,11900,0,Concluida,41000,0,41000,23800,17200
VEN00193,2025-12-24,L07,P09,VND13,2,18700,10850,0,Concluida,37400,0,37400,21700,15700
VEN00194,2025-04-11,L06,P10,VND11,5,20500,11900,0,Concluida,102500,0,102500,59500,43000
VEN00195,2025-11-24,L05,P09,VND10,2,18700,10850,5,Concluida,37400,1870,35530,21700,13830
VEN00196,2025-11-15,L03,P08,VND05,3,16900,9800,0,Concluida,50700,0,50700,29400,21300
VEN00197,2025-07-27,L02,P12,VND04,2,24100,14000,10,Concluida,48200,4820,43380,28000,15380
VEN00198,2025-09-26,L04,P11,VND07,3,22300,12950,10,Concluida,66900,6690,60210,38850,21360
VEN00199,2025-04-07,L02,P04,VND04,2,9700,5600,0,Concluida,19400,0,19400,11200,8200
VEN00201,2025-05-24,L06,P01,VND11,4,4300,2450,0,Concluida,17200,0,17200,9800,7400
VEN00202,2025-06-13,L01,P06,VND02,4,13300,7700,5,Concluida,53200,2660,50540,30800,19740
VEN00203,2025-03-06,L06,P08,VND11,3,16900,9800,5,Concluida,50700,2535,48165,29400,18765
VEN00205,2025-05-22,L02,P07,VND04,1,15100,8750,5,Concluida,15100,755,14345,8750,5595
VEN00206,2025-12-20,L07,P02,VND13,2,6100,3500,0,Concluida,12200,0,12200,7000,5200
VEN00207,2025-07-06,L04,P03,VND08,4,7900,4550,0,Concluida,31600,0,31600,18200,13400
VEN00208,2025-01-21,L08,P06,VND16,2,13300,7700,10,Concluida,26600,2660,23940,15400,8540
VEN00209,2025-08-07,L01,P09,VND01,4,18700,10850,0,Concluida,74800,0,74800,43400,31400
VEN00210,2025-06-10,L05,P06,VND10,3,13300,7700,0,Concluida,39900,0,39900,23100,16800
VEN00211,2025-08-08,L08,P11,VND15,4,22300,12950,0,Concluida,89200,0,89200,51800,37400
VEN00212,2025-10-07,L01,P04,VND02,5,9700,5600,0,Concluida,48500,0,48500,28000,20500
VEN00213,2025-03-01,L06,P11,VND11,1,22300,12950,0,Concluida,22300,0,22300,12950,9350
VEN00214,2025-07-21,L08,P03,VND16,5,7900,4550,10,Concluida,39500,3950,35550,22750,12800
VEN00215,2025-05-25,L04,P12,VND08,3,24100,14000,0,Concluida,72300,0,72300,42000,30300
VEN00216,2025-07-13,L04,P03,VND08,1,7900,4550,10,Concluida,7900,790,7110,4550,2560
VEN00217,2025-12-17,L08,P02,VND15,3,6100,3500,0,Concluida,18300,0,18300,10500,7800
VEN00218,2025-03-17,L05,P02,VND09,5,6100,3500,5,Concluida,30500,1525,28975,17500,11475
VEN00219,2025-07-20,L07,P10,VND14,2,20500,11900,0,Concluida,41000,0,41000,23800,17200
VEN00220,2025-07-14,L08,P07,VND16,5,15100,8750,10,Concluida,75500,7550,67950,43750,24200
VEN00222,2025-09-07,L03,P02,VND05,2,6100,3500,0,Concluida,12200,0,12200,7000,5200
VEN00223,2025-04-28,L07,P01,VND14,5,4300,2450,10,Concluida,21500,2150,19350,12250,7100
VEN00224,2025-12-01,L02,P07,VND03,3,15100,8750,0,Concluida,45300,0,45300,26250,19050
VEN00225,2025-02-06,L06,P09,VND12,5,18700,10850,10,Concluida,93500,9350,84150,54250,29900
VEN00226,2025-07-23,L05,P01,VND09,1,4300,2450,5,Concluida,4300,215,4085,2450,1635
VEN00227,2025-11-16,L06,P12,VND11,2,24100,14000,0,Concluida,48200,0,48200,28000,20200
VEN00228,2025-04-14,L01,P10,VND01,2,20500,11900,0,Concluida,41000,0,41000,23800,17200
VEN00229,2025-01-05,L06,P01,VND12,4,4300,2450,0,Concluida,17200,0,17200,9800,7400
VEN00230,2025-10-29,L07,P03,VND13,2,7900,4550,10,Concluida,15800,1580,14220,9100,5120
VEN00231,2025-02-19,L01,P11,VND02,4,22300,12950,0,Concluida,89200,0,89200,51800,37400
VEN00232,2025-08-20,L05,P07,VND09,3,15100,8750,0,Concluida,45300,0,45300,26250,19050
VEN00233,2025-08-21,L05,P08,VND10,1,16900,9800,0,Concluida,16900,0,16900,9800,7100
VEN00234,2025-11-29,L01,P09,VND02,5,18700,10850,10,Concluida,93500,9350,84150,54250,29900
VEN00235,2025-04-28,L03,P06,VND05,4,13300,7700,0,Concluida,53200,0,53200,30800,22400
VEN00236,2025-09-09,L02,P02,VND04,4,6100,3500,5,Concluida,24400,1220,23180,14000,9180
VEN00237,2025-12-01,L08,P12,VND15,3,24100,14000,10,Concluida,72300,7230,65070,42000,23070
VEN00239,2025-02-22,L02,P07,VND04,3,15100,8750,0,Concluida,45300,0,45300,26250,19050
VEN00240,2025-10-15,L03,P02,VND05,2,6100,3500,10,Concluida,12200,1220,10980,7000,3980
VEN00241,2025-12-27,L01,P07,VND02,2,15100,8750,0,Concluida,30200,0,30200,17500,12700
VEN00242,2025-04-30,L04,P10,VND08,5,20500,11900,0,Concluida,102500,0,102500,59500,43000
VEN00243,2025-12-24,L06,P05,VND12,1,11500,6650,0,Concluida,11500,0,11500,6650,4850
VEN00244,2025-07-03,L07,P01,VND13,3,4300,2450,0,Concluida,12900,0,12900,7350,5550
VEN00245,2025-05-22,L06,P04,VND11,5,9700,5600,0,Concluida,48500,0,48500,28000,20500
VEN00246,2025-09-07,L03,P09,VND05,3,18700,10850,0,Concluida,56100,0,56100,32550,23550
VEN00247,2025-04-16,L01,P04,VND02,2,9700,5600,0,Concluida,19400,0,19400,11200,8200
VEN00248,2025-08-01,L04,P08,VND07,4,16900,9800,0,Concluida,67600,0,67600,39200,28400
VEN00249,2025-05-12,L02,P03,VND03,4,7900,4550,5,Concluida,31600,1580,30020,18200,11820
VEN00250,2025-06-26,L01,P10,VND01,1,20500,11900,0,Concluida,20500,0,20500,11900,8600
VEN00251,2025-10-08,L03,P01,VND06,3,4300,2450,5,Concluida,12900,645,12255,7350,4905
VEN00252,2025-12-26,L02,P11,VND03,5,22300,12950,5,Concluida,111500,5575,105925,64750,41175
VEN00253,2025-12-23,L07,P11,VND13,5,22300,12950,0,Concluida,111500,0,111500,64750,46750
VEN00254,2025-08-23,L01,P08,VND01,5,16900,9800,10,Concluida,84500,8450,76050,49000,27050
VEN00256,2025-12-05,L06,P05,VND11,3,11500,6650,10,Concluida,34500,3450,31050,19950,11100
VEN00257,2025-02-25,L07,P02,VND14,4,6100,3500,5,Concluida,24400,1220,23180,14000,9180
VEN00258,2025-10-30,L06,P12,VND12,1,24100,14000,10,Concluida,24100,2410,21690,14000,7690
VEN00259,2025-02-12,L01,P08,VND02,1,16900,9800,10,Concluida,16900,1690,15210,9800,5410
VEN00260,2025-02-22,L07,P09,VND13,3,18700,10850,10,Concluida,56100,5610,50490,32550,17940
VEN00261,2025-07-01,L08,P10,VND16,3,20500,11900,5,Concluida,61500,3075,58425,35700,22725
VEN00262,2025-12-02,L05,P12,VND09,3,24100,14000,0,Concluida,72300,0,72300,42000,30300
VEN00263,2025-03-13,L07,P03,VND14,2,7900,4550,10,Concluida,15800,1580,14220,9100,5120
VEN00264,2025-02-11,L02,P05,VND04,5,11500,6650,0,Concluida,57500,0,57500,33250,24250
VEN00265,2025-07-10,L04,P09,VND07,1,18700,10850,0,Concluida,18700,0,18700,10850,7850
VEN00266,2025-07-07,L06,P01,VND11,5,4300,2450,0,Concluida,21500,0,21500,12250,9250
VEN00267,2025-04-07,L07,P05,VND13,3,11500,6650,0,Concluida,34500,0,34500,19950,14550
VEN00268,2025-11-04,L03,P12,VND05,3,24100,14000,5,Concluida,72300,3615,68685,42000,26685
VEN00269,2025-01-09,L04,P05,VND07,5,11500,6650,0,Concluida,57500,0,57500,33250,24250
VEN00270,2025-01-08,L08,P09,VND15,5,18700,10850,10,Concluida,93500,9350,84150,54250,29900
VEN00271,2025-11-15,L05,P11,VND09,3,22300,12950,5,Concluida,66900,3345,63555,38850,24705
VEN00273,2025-08-30,L06,P09,VND12,3,18700,10850,0,Concluida,56100,0,56100,32550,23550
VEN00274,2025-09-10,L02,P12,VND03,1,24100,14000,0,Concluida,24100,0,24100,14000,10100
VEN00275,2025-09-10,L06,P11,VND12,5,22300,12950,5,Concluida,111500,5575,105925,64750,41175
VEN00276,2025-02-05,L06,P02,VND11,1,6100,3500,10,Concluida,6100,610,5490,3500,1990
VEN00277,2025-11-20,L05,P01,VND10,5,4300,2450,0,Concluida,21500,0,21500,12250,9250
VEN00278,2025-08-06,L01,P01,VND02,5,4300,2450,0,Concluida,21500,0,21500,12250,9250
VEN00279,2025-03-08,L02,P06,VND03,4,13300,7700,5,Concluida,53200,2660,50540,30800,19740
